Rating,Date Experienced,Review Title,Review,Generated Topics,Extracted Topics
1,2023-10-16,Vaping Now Allowed,i have been a member for some time. however my local gym stafford now allows vaping in the changing room which stinks from the smell of this. i was told that there is no notice that forbids this and as such people can vape. i am now looking for an alternative gym which promotes a healthy lifestyle.," 
1. Smelly changing room.
2. No notice.
3. Promotes healthy lifestyle.",Smelly changing room. | No notice. | Promotes healthy lifestyle.
2,2023-10-15,You do not have staffs around to help…,you do not have staffs around to help beginners like me. there one or two trainers but they are busy with their clients. please increase trainers to help beginners,. i am a beginner and i am very frustrated. i tried to contact the support team but they are very slow to respond. i am very,
1,2023-10-15,Fix the water fountain!!!,fix the water fountain!!! fix the toilets!!!! it’s ridiculous, that the hotel staff are so unhelpful and lazy and the hotel is so dirty and smelly and the water fountain is broken and the,
1,2023-10-12,Worst gym,worst gym experience ever. they made cancellation membership so difficult. you can’t find cancel button on the app or website. it only direct you to customer service page which never replies. many days later they replied to me i have to pay one more month which i’m not going to use. very dodgy!," i’m not going to join again. 

1. Gym experience was terrible.
2. Membership cancellation was difficult.
",Gym experience was terrible. | Membership cancellation was difficult.
1,2023-10-16,Freezing cold…,this morning the gym was freezing cold and staff present were making excuses about being unable to correct as the air con temperature was centrally controlled. surely checking the temperature throughout the gym areas should part of the start of day checks?  please note i’m not normally a cold person.," 
1. cold gym environment 
2. staff excuses 
3. temperature control issue  


**Note:** The solution adheres strictly to the",cold gym environment | staff excuses | temperature control issue
1,2023-10-15,There is no access to the toilet after…,there is no access to the toilet after 12 am. dont go to the gym after midnight if you are diabetic., the staff are very helpful and friendly. the food is very good and the portions are generous. i would recommend this hotel to anyone who wants to,
2,2023-10-12,Always over crowded with groups of…,always over crowded with groups of people attending together but not much exercise taking place. governance required on numbers attending on the whole and stopping groups holding up items of equipment continuously., the staff are very helpful and friendly but the toilets are a disaster. the smell of urine and faeces is very strong and the floor is covered,
1,2023-10-15,Yanga sports water machine never works…,"yanga sports water machine out of order for 3 weeks now! it seems like the management isnt interested in fixing it whilr still charging me the bolt on every month, not acceptable for a gym thats more expensive than the competitors....","...

the water machine is broken. 
i was charged for a bolt on. 
i dont think the management cares.",
2,2023-08-30,I have been training in gyms for 30…,"i have been training in gyms for 30 years and pure gym grantham is the unfriendliest place i’ve ever trained. when there are trainers at their station/podium you have to walk past them to get the the changing rooms upon entry. the only one that greets you with a smile and hello is mike, everyone else either doesn’t look up from their phones or has a face like a wet weekend……including the manager adam mee. the equipment is amazing but the environment is unwelcoming",". i would recommend pure gym grantham to anyone who wants to train hard but needs a friendly welcome. 
1. unfriendly environment 2",unfriendly environment 2
2,2023-10-13,Facilities…,"although the water temperature can now be classed as lukewarm rather than cold, it is still not comfortable and to wash in impossible to shave walls have been damaged in the locker room for months and kids still vaping in there reported this numerous times but nothing changes and no signage erected"," to warn of the smell of urine and the dampness. 
1. Water temperature.
2. Locker room condition.
3. Sm",Water temperature. | Locker room condition. | Sm
2,2023-10-14,I've been to quite a few PureGyms…,"ive been to quite a few puregyms around the country and i think the bournemouth one at the triangle is the worst ive been to. theres no cleaning station by the weights meaning very few people wipe their benches before/after use, something continuously leaks on me when im weight lifting, its overly crowded and everything is broken all the time - equipment, the lockers, the toilets, the hand drier hasnt worked for at least a few months and you cant wash your hands without being splashed by the tap.  all in all, its pretty gross to the point ive been looking at other gyms in the area and will be switching."," 
1. equipment is broken 
2. toilets are broken 
3. smell of mildew To answer this question, can you list the 3","equipment is broken | toilets are broken | smell of mildew To answer this question, can you list the 3"
1,2023-10-15,Refurb of Putney branch,"i have always been a big supporter of puregym and the service they offer. it is a no frills, well equipped, gym. however the recent refurbishment of the putney branch has been so poorly managed and disrespectfully communicated to the members that my opinions have plummeted. changing rooms have been closed with no notification despite me emailing the branch to ask if there were going to be any closure of the changing facilities. health & safety is another concern as works are being carried out with gym members on site. trip hazards are blatantly ignored and large items of furniture are being carried up and down the internal stairs with members arriving and leaving. it is very dangerous."," i would never recommend this branch to anyone. 

1. refurbishment 2. health & safety 3. communication to members To answer",refurbishment | health & safety | communication to members To answer
2,2023-10-15,The gym is good one but it has had no…,the gym is good one but it has had no air conditioning in parts of the gym for over 2 months now and when ever i ask i get told they are waiting for outside contractors 🙄 i have been going to other gyms now because it it and thinking about cancelling my membership,".  i am 32 and i am very active.  i am very disappointed. 
1. no air conditioning 
2. other",no air conditioning | other
1,2023-10-15,Stay well clear from this gym,stay well clear from this gym. the pts aren’t nice people. they are suppose to help mental health where really all they do is cause more. they all talk about people behind there back and the pts also are sleeping with each other behind people’s backs. vile people,". i would never recommend this place to anyone. 

1. Bad people. 
2. Mental health. 
3. Sleeping together. To",Bad people. | Mental health. | Sleeping together. To
2,2023-10-15,Over crowded means waiting for use of…,over crowded means waiting for use of equipment a lot of time wasted. showers always dirty and no cold water option.," no lockers available. 
I am a student and I am very disappointed. 
I came here to study and I am very unhappy.",
1,2023-10-15,Rubbish gym,"rubbish gym , toilets always broken, gym is closed every other week for maintenance issue . 1/10 wouldn’t reccomend",.  I bought this gym for my wife and she wanted to try kettlebell training.  She didn’t like the rubbish,
2,2023-10-15,Bad standard of cleaning,"the staff of gym are great. the equipment also good , but cleaning standards and maintenance are very poor.  shower looks sorry with full of hair and mosquitos , blocked toilets and missing toilet paper are constant  hope you can look into it for us to continue be happy with the gym",". 
1. Staff of gym are great.
2. Equipment also good.
3. Cleaning standards and maintenance are very poor.",Staff of gym are great. | Equipment also good. | Cleaning standards and maintenance are very poor.
2,2023-10-12,Making attendance harder than is needs to be,why do have to pay extra for the box fit class when it was included in the places gym monthly membership class? i know for a fact that people who used to attend in the past will not now attend in as a matter of principle. this puts the ongoing viability of the class in jeopardy. if is is a private class why cannot the public attend and pay just the class fee rather than having to pay a pure gyp day pass fee. you are putting obstacles in the way of success.," 

1. extra fee for box fit class.
2. people who used to attend.
3. ongoing viability of the class.",extra fee for box fit class. | people who used to attend. | ongoing viability of the class.
1,2023-10-15,Rude unresponsive staff who only help…,"rude unresponsive staff who only help people in shape, rude members who stare at you because you are overweight. did i mention the staff who make you feel unwelcome?"," i was told to expect a 30 minute wait for a table, but it was 45. when i arrived, the staff member who","when i arrived, the staff member who"
1,2023-09-27,Falling apart,"the place is falling apart, the floor has so many holes in it it’s covered with duct tape and breakdowns are coming with a very slow repair time. it is rarely staffed and on the occasion there is someone in in a pure gym uniform you are met with “sorry i’m here for a client” before you can actually ask them anything. i get that the membership is cheap but so is gym group and jd gyms and none of them that i’ve been in are this run down."," i would advise anyone thinking of joining to do so elsewhere. 
1. place is falling apart.
2. floor has many holes.
3",place is falling apart.
2,2023-10-15,Multiple machines broken,multiple machines broken. no wifi.," no internet. no power. 
i called the support line and they said it was a manufacturing defect. 
i am very disappointed. i bought",
1,2023-10-15,There is never staff,there is never staff other gyms get visitors pass your telephone is never answered," and i have to call back to get someone to take my call. 
the staff are very unprofessional and unfriendly. 
i have been a",
1,2023-10-15,it's just so demotivating,"its just so demotivating, like working out shouldnt be that complex; the whole place has negative energy; stuff is always out of order; it never smells nice."," 
1. Complex workout routine.
2. Negative energy.
3. Out of order.",Complex workout routine. | Negative energy. | Out of order.
1,2023-10-15,I Recieved an electric shock from a…,i recieved an electric shock from a faulty hair dryer i emailed photos a week ago and recieved no reply the hair dryer was still wired and in pieces 3 days later  the showers are cold for a consequtivr 3rd month as the gym can not fix a faulty boiler  the place is very dirty going down hill and im off to jd gyms," 2 miles away to find a new place to live. 
1. Faulty hair dryer 
2. Very dirty 
3. Going",Faulty hair dryer | Very dirty | Going
2,2023-10-15,Please hire cleaners.,"always at least three machines or water fountains out of order, several machines squeak and cleanliness is severally lacking. the dust is thick in a lot of places, every time i wipe down a machine before i use it there’s dirt. nearly fell over a hoover left just behind the door of the ladies changing room the other day, no cleaner in sight and was still there an hour later when i was leaving. every sunday there is at least one stall in the women’s toilet without toilet paper, today the soap had run out too. if there was more than one soap dispenser it would help."," the staff are very busy and don’t seem to care much about the cleanliness of the place. 

1. machines 
2. cleanliness 
3",machines
1,2023-10-15,Poor facilities,poor facilities dirty equipment and functional areas pungent malodorous smell,. the staff are very unhelpful and unprofessional. the hotel is very old and the rooms are very small. the bathroom is very dirty and,
2,2023-10-15,Busy,to busy and equipment needs upgrades," to make this work. 
I have a 2007 Chevy Suburban and it's a nightmare. 
The ",
1,2023-10-15,Too dirty,"too dirty, smells bad",", and the carpet is worn out. I would not recommend this place to anyone. I visited this place with my wife and we were both disappointed",
1,2023-10-15,Someone stollen my stuff from the…,"someone stollen my stuff from the locker , streatham hill gym",", and i was so pissed off. i had to go to the police and report it. i am very disappointed in the staff at",
2,2023-10-15,The shower temperature at the gym has…,the shower temperature at the gym has been lowered and is almost cold also a lot of equipment has been out of order please can we have hot showers again, and more staff to look after the equipment. the gym manager has been very unhelpful and dismissive and the staff are not trained to deal with,
1,2023-10-15,tissue paper are scarce and the…,tissue paper are scarce and the machines remain broken for a long time.. while the club is very busy. a personal trainer is occasionally disrespected., the club is very busy. the machines are broken and scarce. the club is very busy. the machines are broken and scarce. the club,
1,2023-10-15,Sent in some complaint over a month and…,sent in some complaint over a month and no response hence the 1 star!,  I've had a similar problem with another supplier and it's a real pain to deal with.  The product I received was not,
2,2023-10-15,Gym is freezing cold and showers are…,gym is freezing cold and showers are boiling hot.,  I've tried everything to keep the temperature consistent.  I've also tried to get a trainer to adjust the thermostat.  I,
1,2023-10-15,No cleaning spray for last 2-3 days,no cleaning spray for last 2-3 days no handwashing liquid in toilet area.," toilet smells like sewage. no air conditioning. very hot. i am very unhappy with this hotel. 

1. Toilet area lacks cleaning",Toilet area lacks cleaning
1,2023-10-15,Manager at PureGym Muswell Hill is…,"manager at puregym muswell hill is rude, vicious, unapproachable. the gym is poorly managed it’s dirty the gym equipment keeps breaking down. my friend is a special needs person who wants to come to this gym but can’t because the disabled toilet is out of order since may of 2023 and where now in mid october."," the manager is also the owner and she is not bothered at all. the gym is a scam. 

1. Manager behavior is bad.",Manager behavior is bad.
1,2023-09-13,Staff has no idea how to talk to the clients,"i have been a member since the opening in crouch end. i had my exercise and my husband (he is also member) was standing with me while i was working on the equipment. as he was not supposed to do sports, he was in shorts and a shirt with swim sliders on his feet. the manager guy came to him and asked (staff generally never say hello) ""what are you doing here? you are not presentable, you have to wear proper training shoes."" my husband replied back: i am not exercising, just standing with my wife and chatting with her. he kept his rude attitude towards us, kept his angry talk. i dont know what is wrong with that guy but i am so disappointed.  i hope you can give proper training to your staff. in the gym area you will see “everyone is welcome” but no, this is a lie.","  i am a member for 10 years and i have never seen such a rude staff. 
1. bad staff 
2. husband",bad staff | husband
1,2023-09-02,Things have not gone well from the…,"things have not gone well from the start. i have been in email contact with marc irish and katie patterson to resolve the membership which since purchase has not been used.  i purchased a membership for my son to use.  the purchase was for the monthly plus which i believed that if the primary gym chosen was newcastle eldon garden it would give him access to more gyms than if newcastle st james was chosen. newcastle st james is the one he primarily attends. i have paid for a yearly fixed membership with effective start date 31/08/2023 however when he came to use it for the first time last saturday (2nd september 2023) was unable to do so and had to pay for a daily pass.  what do i need to do so that he can access the newcastle st james gym without having to pay for daily passes there?  katie patterson supplied a link for member services, however need to speak to someone to resolve.",  marc irish is not available to speak to.  i have tried to contact katie patterson via email but she is not responding.,
1,2023-10-15,Should be called pure crap,"just not for me, wrong sort of people go these gyms and the bench press benches are setup wrong, the racking points are too low meaning you are lifting the bar off in a compromised position, id pay doubly the cost to get away from the clients they attract, i wanted puregym to be good but sadly it really wasnt, its like working out in a airport, its more of gym where people go show off as much skin as they can and do a half arsed workout",". 
1. Bench press benches are setup wrong.
2. Clients they attract.
3. Airport-like atmosphere",Bench press benches are setup wrong. | Clients they attract. | Airport-like atmosphere
1,2023-10-15,Camberwell Pure Gym is by far the…,"camberwell pure gym is by far the filthiest of all the pure gym’s i have been to in london. lockers are broken, toilets full of faeces, showers filled with pubic hair. this place sometimes isn’t cleaned for days. i brought this up with management several times but they can’t get the lack of hygiene under control it seems. avoid."," 

1. Camberwell Pure Gym is filthy.
2. Management can't control hygiene.
3. Locker broken",Camberwell Pure Gym is filthy. | Management can't control hygiene. | Locker broken
1,2023-10-15,Sort out the changing rooms,sort out the changing rooms. stop the blocked toilets. stop continues running tap. no hand dryer for weeks. the showers are now cold., the water pressure is too low. the hand dryer is broken. the showers are too small. the water pressure is too low. the showers,
1,2023-10-12,Disgusting smell at entrance,"disgusting smell at entrance, always damp, very poor on cleanliness."," 
I have been here for 2 years and it is still the same. 
I would not recommend this place to anyone. 
 I have tried",
2,2023-10-15,Overcrowded and messy,"overcrowded and messy. weights, dumbbells, and clamps are all over the place. there are only two flat benches for bench presses, so they are almost always occupied, and there are no safety bars on them.  they should raise the price if they need to and increase staff to clean the place, put the weights in order, and warn people taking the spaces too long and add two more flat bench press benches.","  i am very disappointed. 
1. cluttered bench area
2. overcrowded space
3. lack of safety bars",cluttered bench area | overcrowded space | lack of safety bars
1,2023-10-15,I forgot my mobile so the staff let me…,"i forgot my mobile so the staff let me in for my cycle class. i was then notified that i hadn’t attended the class, had all classes cancelled and banned from booking for 8 days. on arrival at the class, we had to move our own bikes into position. i struggled to move the bike. the instructor offered no help and eventually another member of the class came over. at the start of the class, the instructor did not even say hello to the group. on leaving, we had to queue for 10 minutes as one of the doors were broken."," the class was boring and i left early. 
1. staff let me in for my cycle class.
2. i struggled to move the bike",staff let me in for my cycle class. | i struggled to move the bike
1,2023-10-15,Rubbish gym,"rubbish gym, layout all wrong. should go back to how it was two yrs ago. can’t get on any of the machines or weights. not clean. machines out dated.", old. rusty. broken parts. i’ve tried everything to fix it. no joy. i’ve been here twice now and will not,
2,2023-10-15,As a cyclist i use the cycling machines…,as a cyclist i use the cycling machines a lot...the computer on your machines hasnt been working for months. its winter time am exercising blandingly...i have tried to explain this to the stuff but when its more than 6 months it show how proffessional your company is...i moved from the gym were i never had such issues...right now am thinking otherwise," about buying a new machine. 

1. machine not working 
2. professional company 
3. new machine thoughts To answer this question, I will","machine not working | professional company | new machine thoughts To answer this question, I will"
2,2023-10-15,Poorly equipped. Wasted space,compared to its main competitor in the town (jd gyms) it is very poorly equipped. the area to the left as you walk in is completely wasted with very little equipment. i think you will find that once the initial 12 month offer has expired many people will leave unless things are improved. this review relates to the new gym at shrewsbury., the gym is very small and the equipment is very basic. the area to the left as you walk in is completely wasted with very little equipment.,
1,2023-10-15,The building is far too small for the…,the building is far too small for the amount of people that want to use it. there is an upstairs but due to some stupid reason it is closed off when it should be open. there are too many people using it at the one time that i am going to cancel my membership,". i hate this place. 
1. building is small. 
2. upstairs is closed. 
3. too many people at once",building is small. | upstairs is closed. | too many people at once
1,2023-10-15,worst customer service I ve seen in a…,"worst customer service i ve seen in a gym , bad maintanance on machines and lockers , faulty fountains and janga all the time , faulty machines all the time, very bad music, unleveled floor ."," i would never recommend this gym to anyone. 

1. Faulty fountains and janga. 
2. Faulty machines.",Faulty fountains and janga. | Faulty machines.
2,2023-10-15,Took the boxing bags down after I'd…,took the boxing bags down after id asked if they were permanent before i joined. far too busy at the times that i can train., i have never seen a gym like this before. the staff are very friendly and helpful. i would recommend this place to anyone who wants to train hard,
2,2023-10-15,Very bad experience,"not enough small equipment (e.g handles). bathroom is dirty and smells terrible. i wonder if it is the way puregym prevents people from taking a shower to save costs. not shower at gym after a couple of first days, could not stand horrible smell and dirtiness  (the gym bathroom is much better)"," 

1. bathroom smell terrible
2. not enough small equipment
3. shower not available for first days To answer this question, I extracted the","bathroom smell terrible | not enough small equipment | shower not available for first days To answer this question, I extracted the"
2,2023-10-10,Showers and Cardio equipment,"the showers are a massive problem. there is something wrong with them every few months. the smell from the sinks in the toilets are also overwhelmingly disgusting. due to limited cross trainers when even one is out of action it affects a lot of people. but apart from all those things the gym is clean and tidy. all the other equipment is in good working order. pleasant atmosphere, great class timetable. on a good day i would definitely give it a 5 stars…", but the showers are a massive problem. ive tried everything to fix them and nothing seems to work. ive even taken them to a pl,
2,2023-10-15,PureGym needs help,not a good atmosphere changing rooms need help equipment is not suitable for all, the customers the staff are not friendly enough to ask if they need anything else they are very busy and do not have time to help a customer. the,
2,2023-10-12,Pure gym is a terrible gym to get hold…,pure gym is a terrible gym to get hold of. find out any information about and has unclear terms and conditions. the equipment is good but some within my very busy gym is broken/barely works and their is barely anyone working there. if they do work there they have no idea about the policies of the gym and the upgraded membership is not great.," i would not recommend this gym to anyone. 
1. gym is terrible 
2. terms and conditions unclear 
3. equipment is broken/bare",gym is terrible | terms and conditions unclear | equipment is broken/bare
1,2023-10-15,We have had cold water for showers now…,we have had cold water for showers now for nearly 6 weeks if not longer but our monthly charge is still the same amount, as it was when we first signed up. the water pressure is also very low and the water temperature is too cold. so we are very unhappy,
2,2023-10-12,RESPECT THE GYM,"1. staff should be a lot more vigilant ! banning people for dropping weights. banning people for dropping machinery. banning people for not putting weights away. since the monthly gym membership has gone up the equipment has gotten very worn and tatty. needs repairing or replacing as if it was a new gym just opening. gym is just lacking big time with equipment quantity in every department !  staff need to speak up when ever any piece of equipment is not being treated properly !  dont allow people to take dumbbells from the dumbbell area, they never get put back !"," 
2. equipment 
3. gym staff",equipment | gym staff
2,2023-10-15,Dangerous cycles and locked toilets,"i have raised 8 times with different puregym staff at finchley rd gym about the bikes speed level suddenly accelerating from 1 to 19 and above and with a recovering broken ankle, this is quite hard. it happens after 25 minutes of cycling but nothig has been done about it. also the disabled toilet should be open for use for others, why have a vacant toilet, when then one needs to go downstairs which are often out of order?", this is a very poor service and i have been told by a friend that the staff are very nice but this is not the case. the bikes,
2,2023-10-15,Let down by non existent customer services,"easier to leave the mafia than this place!  trying to cancel but unable to do so via the app but impossible to speak to anyone or get a response. shame really, as the gym experience itself was good (for the money) - just left due to changing circumstances.  given up trying to contact and will cancel direct debit. thanks for reminder trustpilot!",  i'm not a fan of the 'gym' culture - it's all about the 'get rich quick' ment,
2,2023-10-15,The showers at the gym are constantly…,the showers at the gym are constantly dirty. also the water machine has been broken for approx 3 weeks., i am very disappointed with the gym and would not recommend it to anyone. the water machine is a must for any fitness enthusiast. i would,
1,2023-10-14,Very poor service,very poor service. the colne branch charges you more than the normal rate they charge others and then expect you to have cold showers as well by not switching the boiler on!, i would never recommend this place. the staff are rude and unhelpful. i had a boiler breakdown and they took 2 days to,
1,2023-10-15,Due to repairs the gym had been…,"due to repairs the gym had been repeatedly inaccessible and thus put me off as i already struggle to attend, additionally i wasn’t compensated due to this… i had been paying as norm but only had access to the weights areas",". i was very disappointed and felt cheated. 
the repairs were a mess and the gym was inaccessible for 3 months.",
1,2023-10-15,50% of the cross trainers are still out…,50% of the cross trainers are still out of orders. its been over 2 weeks since they were reported broken,. i bought 2 of them for my 2 daughters. one broke after 1 week and the other one still hasn't arrived.,
1,2023-10-14,I have complaint many times,"i have complaint many times, no action has been taken"," to resolve them. 
i have tried to contact them via email, phone, and live chat. 
i have also tried to resolve the issue myself",
1,2023-10-15,Very bad,very bad. too much crowded., i dont know how they can keep this place open. the food is terrible. the service is slow. the waitress was rude. the food,
1,2023-10-15,RIGID STRUCTURE,why must i upgrade my plan before i can use any pure gym?," 
i have a 2 month old baby and i need to be able to get to the gym without any hassle. 
i have tried",
1,2023-10-15,Continuous cancellation of classes at…,continuous cancellation of classes at short notice but yet the ban is actively impressed on clients when booked classes are missed double standards!! it is not good enough the gym is really unclean with poor ventilation., the staff are not friendly and the receptionist is rude. the classes are not interesting and the trainers are not qualified. the gym is,
1,2023-10-15,Horrible equipment,"horrible equipment, hasn’t been changed in years."," I bought it new, but it’s not worth it. I’ve tried to fix it, but it’s beyond repair. I’",
1,2023-10-15,Not very impressed,"not very impressed, machines constantly out of order. not enough equipment for how many people are signed up there. could do with more leg training equipment."," 

The machines are unreliable. There are insufficient equipment. The customer wants more leg training equipment. 

The customer is not satisfied with the machines'",
2,2023-10-15,The gym just isn’t very clean,the gym just isn’t very clean. no paper towels yet again. men’s changing room cleanliness leaves a lot to be desired., i’ve been a member for 2 years and i’ve never seen the staff clean the showers. i’ve also never seen them,
1,2023-10-15,Lazy Management,"unfortunately the management of this gym would rather post of social media than actually do their jobs.  i have had a knee operation and am coming back for knee rehab the disabled changing have not been fixed since october 2022, i written to them twice to sort this issue out.  the issues are as follows:  1. sit on the toilet to get changed as the spare seat was (foldable) was taken down. 2. the shower floor is a slip hazard and maybe install panels so water doesnt seep out! 3. being forced to sit on the toilet or wet shower seat as there is no seat to change. 4. music speaker is broken in there too 5. no shower curtain  all that was done was the toilet glued back on the wall. nothing has been done.",  i am very disappointed and would advise anyone thinking of joining to think twice.  i have tried everything to sort this out including contacting the,
1,2023-10-15,London Road Brighton is a dirty gym,london road brighton is a dirty gym.  there is thick dust at the bottom of most aparatus and the toilets are disgusting most days.,  i have been here twice now and i will not be returning.  the staff are rude and unhelpful.  i would advise anyone,
2,2023-10-15,No proper lighting for three weeks now,"no proper lighting for three weeks now, three rowing machines out of order, i dont know what is going on, but its gone downhill recently, very poor."," the rowing machines are not working properly and the lighting is very dim. i have tried everything to fix them, but nothing works. i am very",
2,2023-10-14,Please read and take action,"- music is low or off with poor selection - staff not welcoming unless your interested in pting - should have a set temperature for the gym - equipment not cleaned regularly - air freshener in toilets/changing rooms - equipment everywhere on weekends - under 16s using the gym no supervision  i could keep listing but the above would be a great start, under 16s can use the gym totally fine with that but groups of 4+ training is crazy, form terrible they will hurt themselves. why not have a select time they can use the gym off peak when you have staff that can help them in their training compulsory induction perhaps."," 

Music  Music  Equipment",
1,2023-10-15,Make sure all bikes in spin class are…,make sure all bikes in spin class are working constantly monitors and the clips and straps broken or faulty reported but never rectified only one air con unit in spin class ridiculous,. the bikes are old and need replacing. the spin class instructor is very good. i would recommend this place to anyone who wants to learn,
2,2023-10-15,don't let minor children come to the…,"dont let minor children come to the gym because they sit for half an hour on the chair without doing anything, there are people who sit on the phone for 10 minutes until another series starts, there are people who sit for 5 minutes on a machine without doing anything",", and i have seen people who sit on a bench and do nothing but talk to each other. 
1. Children sit idle.
2",
2,2023-10-15,Shower is cold running,shower is cold running. it’s a torture to shower after a workout. horrible sensation. pure gym dudley wake up and fix it. your premium has increased!!!., shower is cold running. i’ve tried everything to fix it. it’s a horrible sensation. i’ve had a shower before and,
1,2023-09-17,Top crowded,"top crowded, no cap on member limit."," 3 people in my group, 20 people in the queue. 2016-09-20 14:",
2,2023-10-15,Should do better…,"aging machines, rubbish cleaning stations and full of school kids standing around in packs doing very little. shame the staff or the gym don’t require some sort of verification of age, the gym isn’t big enough to have children running around",. the kids are too young to understand the concept of personal space. the staff are too busy chatting to notice. the gym is a mess.,
1,2023-10-15,The worst!,"quite possibly the worst gym i’ve ever been to and used. unfortunately it’s convenient, on my way to work and cheap. however it’s dirty, hasn’t been updated in 8 years and the equipment is often broken. absolute nightmare of a gym!", i’ve tried 2 other gyms in the area and this one is by far the worst. the only good thing is that the staff are,
2,2023-10-15,It’s a good gym but there are other…,it’s a good gym but there are other gyms much better, in the area. the staff are very friendly and helpful. the equipment is very basic and outdated. i would recommend it to friends but not,
1,2023-10-15,it does not have lower chest machines,"it does not have lower chest machines even no tap water ,you must pay for water"," and electricity. 
it is very hot in summer and very cold in winter. 
the water is dirty and smells bad. 
it does not have",
1,2023-10-15,Absence of Wi-Fi and poor 5G/4G signals inside the gym,"i rated the gym with 1 star due to prolonged issues with broken fitness equipment that remain unfixed for over two months, significantly impacting the workout experience. additionally, the absence of wi-fi and poor 5g/4g signals inside the gym hinders connectivity, necessitating urgent improvements for a more satisfactory user experience."," finally, the lack of a dedicated staff member to address my concerns promptly exacerbates the frustration, as i had to wait over an hour",
2,2023-10-15,Big improvement and affordable…,big improvement and affordable membership however classes are short and basic not driving individuals to own limits. i attended two different classes same day different names- set up and exercises were exactly the same. also too many members for amount of equipment available at peak times,". 
1. Classes are short. 
2. Too many members. 
3. Basic exercises.   So I've got this task to",Classes are short. | Too many members. | Basic exercises.   So I've got this task to
1,2023-10-15,Puregym northwich is awful,"far to warm as the ac doesn’t work or its just terrible ac, they put the heating on in the morning even though its already boiling in there. lack of equipment for the amount of members, to busy all the time, terrible music, honestly the worst run gym ever so much improvement needed",". 

1. Heating problem.
2. Lack of equipment.
3. Terrible music.",Heating problem. | Lack of equipment. | Terrible music.
1,2023-10-15,Over crowded,over crowded. need one in sittingbourne,". i live in a flat. 
i have a 2 year old and a 6 month old. 
my husband works 60 hour",
1,2023-10-15,The machines need service,the machines need service. some say out of order for a while.  also water leaking from roof with buckets sat there for days. also basic machines like hammer incline press isn’t even there if it doesn’t improve i’m moving to jd sports. same price better machines,". 

1. Machines need service.
2. Water leaking from roof.
3. Basic machines not available.",Machines need service. | Water leaking from roof. | Basic machines not available.
1,2023-09-04,Terrible never again!,terrible about 10 ppl. trying to get out but the code door wont work  after what seemed forever a male member of staff came over opened a side door so ppl went towards it to be told we. cant exit and have too wait for the. machine on to to start working bcuz it will mess up the onlinepublic number trackers else. il never go back to that gym again terrible, staff and terrible facilities. i tried to call but got no answer. i tried to email but got no reply. i will never go back to that,
2,2023-10-15,Most of the time I go gym early morning…,"most of the time i go gym early morning nearby 4 am and gym equipment are not organised, cuz of that you’re unable to find the suitable weight for you."," i also found that the bench press machine is broken and the staff are not helpful. 
i would recommend this gym to my friends but only if they",
1,2023-10-15,Over memberships,over memberships. all ways busy too many annoying kids.," i hate it. 
i don't want to go back to school. 
i want to go to college. 
i want to learn.",
2,2023-09-23,This is the most untidy gym I have ever…,this is the most untidy gym i have ever been  to. the etiquette is terrible. people leaving fully stacked bars after finishing deadlifts is very common. ive never seen any staff members tidying up or enforcing the rules. personal trainers often walking around with a coffee when with a client. i attended one spin class and the dial on the bike didnt work. that wasnt a problem as the lights got turned off then apparently it turned into a disco at that point anyway. style over substance., the benches are old and rusty. the floor is sticky and covered in a thick layer of grime. the air conditioning is terrible.,
1,2023-10-15,"The dirtiest, filthiest gym.","the dirtiest, filthiest gym i’ve ever used. i’ve seen cleaner wheelie bins than the showers and changing rooms they have at pure gym chatham",. the only thing i don’t like is the smell of the lockers. i’ve been a member for 2 months and the smell,
1,2023-10-15,Yes it’s cheap but state of the place…,yes it’s cheap but state of the place is disgusting most of the time,. the only good thing is the staff are very friendly and helpful. the place is very dirty and smells like a dump. the food is very basic,
2,2023-10-15,Decent gym horrible smell,decent range of  equipment but every pure gym you go to has that distinct smell of sweat and bo. all the gyms have fans and ac but they are never turned on and i’m paying £58 a month to go to any gyms in the country as i’m always travelling so overpriced as hell., i’ve tried 3 gyms and all 3 had the same problem. i’m not sure if it’s a problem with the,
2,2023-10-15,Sports water Hydration station is not…,sports water hydration station is not working and its not for everyone its only for upper package,. i bought it for my 12 year old daughter who is very active and loves sports. she is very picky about her drink and i,
2,2023-10-15,Bad quality,"common for machines to not work, not an environment for a girl to do workouts as it can become overcrowded with men,maybe make a section for women only the gym is big enough to do that… toilet facility never has tissue and for the price that is paid not worth it.  also u didn’t answer my statement the toilet is disgusting and the environment is hostile ur telling me to check an app regulate ur gym and clean the toilets it’s a shxt hole",". 

Women",
1,2023-10-15,"Dark, dingey, limited kit","i have got to be honest. pure gym just is not the one, i can’t talk for the others but wrexham just is not a vibe. it’s disgustingly busy, always. and the kit is extremely limited in terms of weights, if you want a treadmill (assuming it is working!) there a loads. but the actual kit is sparse, there is next to no room to train if you’re doing cardio or your own workouts if there is a class on. it’s always dirty, no day light, it’s so dingey and genuinely stopped me using the gym as it was low key depressing going there.  no offence to those who use this gym regularly, if it works for you, it works for you but it has never been and will never be a gym that i enjoy attending. i’d much rather drive to chester ‘gym group’ than go here."," 

1. gym not good 2. limited kit 3. dirty and depressing",gym not good | limited kit | dirty and depressing
1,2023-10-15,Equipment constantly broken ripped or…,equipment constantly broken ripped or warn. showers awful., 3 stars. 2012 model. 2012 model year. i bought this car from a dealership. the sales,
